field,value,origin
source.readout_direction,,unknown
source.reference_plane_index,1,bridge_assumed
source.reference_sample_data_token,68e8e98cf7b0487baa139df808641db7,source_dataset
source.reference_timestamp_us,1532402927662460.0,source_dataset
source.requested_sensor_noise_seed,,simulator_configured
source.rolling_shutter_time_us,,unknown
source.sample_data_token,"[""e3d495d4ac534d54b321f50006683844"",""68e8e98cf7b0487baa139df808641db7"",""512015c209c1490f906982c3b182c2a8""]",source_dataset
source.sample_timestamp_us,,source_dataset
source.sample_token,"[""ca9a282c9e77460f8360f564131a8af5"",""39586f9d59004284a7114a68825e8eec"",""39586f9d59004284a7114a68825e8eec""]",source_dataset
source.scene_name,,source_dataset
source.scene_reference_white_luminance,,simulator_configured
source.scene_token,,source_dataset
source.sensor_analog_gain_divisor,,simulator_readback
source.sensor_cfa_pattern,GRBG,simulator_readback
source.sensor_integration_times_us,,simulator_readback
source.sensor_modality,,source_dataset
source.sensor_noise_seed,,simulator_readback
source.sensor_noise_seed_policy,base_plus_plane_index,bridge_assumed
source.sensor_noise_seeds,"[1000,1001,1002]",simulator_readback
source.sensor_to_ego_matrix,,source_dataset
source.sensor_to_global_matrix,"[[[-0.9401652123589342,-0.015582548073058929,-0.3403623916733914,410.87244105365085],[0.3399968349298875,0.022094631607521356,-0.9401669955341909,1179.5708116715803],[0.02217037906169336,-0.9996344389073832,-0.015474586992295015,1.4936775157046185],[0.0,0.0,0.0,1.0]],[[-0.9402571710430225,-0.01494311642038995,-0.3401369659031779,410.70977105698245],[0.3397536310584521,0.02336811486507703,-0.9402241229569951,1179.137526706944],[0.02199823821968963,-0.9996152432207601,-0.016895059512489194,1.4912453285726384],[0.0,0.0,0.0,1.0]],[[-0.9410879902653345,-0.01588826042595557,-0.33778833277511344,410.40065095332744],[0.3373179817909099,0.026415805046409342,-0.9410200765149797,1178.2754978561568],[0.023874122787261646,-0.9995247712910307,-0.019500200941314667,1.486689580604785],[0.0,0.0,0.0,1.0]]]",source_dataset
source.sensor_token,,source_dataset
source.sensor_voltage_swing_v,1.0,simulator_readback
source.sensor_volts,,simulator_readback
source.source_analog_gain,,unknown
source.source_black_level,,unknown
source.source_cfa_pattern,,unknown
source.source_exposure_time_us,,unknown
source.source_height,"[900,900,900]",source_dataset
source.source_white_balance,,unknown
source.source_white_level,,unknown
source.source_width,"[1600,1600,1600]",source_dataset
source.static_comparator_sensor_noise_seed,1006,simulator_configured
source.temperature_c,,unknown
source.timestamp_us,,source_dataset
source.version,,source_dataset
source.white_balance_gains,,unknown
source.white_level,,unknown
